	eng	kor
desc_Requiem	After defeating an enemy with the specific skill, 'Silence' all enemies within <val0> tiles.	해당 기술로 적을 처치시 <val0>타일 내의 모든 적에게 침묵 <val1>을 부여한다.
EventHorizon	Event Horizon	사건의 지평선 
desc_EventHorizon	Pull the enemy with the lowest 'HP' among all enemies within <val0> tiles of all void orbs on the map and deal damage.	맵 상 존재하는 모든 공허의 구슬의 <val0>타일 내에 있는 적들 중 체력이 가장 낮은 적을 공허의 구슬로 빨아들여 피해를 입힌다.
RyeonCoreAnnihilation	RyeonCore Annihilation	연핵 파괴 
desc_RyeonCoreAnnihilation	Deal damage to the target and decrease 'RYN' by <val1>% for <val0> turns.	대상에게 피해를 입히고, <val0>턴간 연을 <val1>% 감소시킨다.
ForbiddenCurse	Forbidden Curse	금기된 저주 
desc_ForbiddenCurse	Place a curse on the designated target until the end of the battlefield. The curse inflicts <val0> damage to my 'HP' per turn and deals <val1>% damage to the target whenever they take action. If the target is defeated, restore <val2> 'HP'.	대상을 지정해 전장이 끝날 때까지 저주를 건다, 저주는 매 턴당 내 체력을 <val0> 감소시키며, 대상이 행동을 할 때마다 <val1>%의 피해를 입힌다. 대상이 처치될 경우 체력을 <val2>회복한다.
HalfSpiritReplication	HalfSpirit Replication	반혼 복제 
desc_HalfSpiritReplication	If not equipped a 'Half Spirit', replicate the target's 'Half Spirit' and use it. If unit is setted 'Half Spirit', acquire the corresponding 'Half Spirit' in the inventory until the end of the battlefield.	반혼을 장착하지 않았을 경우 대상의 반혼을 복제하여 착용한다, 자신이 반혼술사일 경우 전장이 끝날 때까지 인벤토리에 해당 반혼을 획득한다.
Sniper	Sniper	저격수
desc_Sniper	A lone sniper in distant places.	홀로 먼 거리에서 적을 사살하는 자.
Destroyer	Destroyer	디스트로이어
desc_Destroyer	A formidable striker who shatters formations with a powerful blow.	강력한 일격으로 진형을 무너뜨리는 자.
DeadHunter	Dead Hunter	망자사냥꾼
desc_DeadHunter	A hunter of wandering spirits.	떠돌이 망자들을 사냥하는 자.
Guardian	Guardian	수비병
desc_Guardian	One who strengthens themselves to protect.	지키기 위해 힘을 기른 자.
Watcher	Watcher	감시자
desc_Watcher	A vigilant watcher.	감시하는 자.
Gigantic	Gigantic	기간틱
desc_Gigantic	One who possesses the strength of giants.	거인과 같은 힘을 지닌자.
WaveRyeonier	Wave Ryeonier	물결술사
desc_WaveRyeonier	One who manipulates the flow of 'Ryeon' like flowing waves.	흐르는 물결처럼 연의 흐름을 다루는 자.
VoidRyeonier	Void Ryeonier	공허술사
desc_VoidRyeonier	One who wields the connection between void and 'Ryeon'.	공허와 연을 이어 다루는 자.
Acrobat	Acrobat	아크로바트
desc_Acrobat	One who deceives enemies with dazzling maneuvers.	화려한 몸 놀림으로 적을 농간하는 자.
Spearyeonier	Spearyeonier	연창사
desc_Spearyeonier	One who wields the power of 'Ryeon' and spear.	연술의 힘과 창을 다루는 자.
CrisomDawn	Crisom Dawn	크림슨던
desc_CrisomDawn	One who wields the crimson power of 'Ryeon' and blunt.	붉게 물든 연의 힘과 둔기를 다루는 자.
CurseRyeonier	Curse Ryeonier	저주술사
desc_CurseRyeonier	One who practices cursed 'Ryeon.	저주의 연술을 다루는 자.
HalfSpiritRyeonier	HalfSpirit Ryeonier	반혼술사
desc_HalfSpiritRyeonier	One who wields the power of 'Ryeon' through bonds.	연의 힘으로 반혼을 다루는 자.
Swordyeonier	Swordyeonier	연검사
desc_Swordyeonier	One who wields the power of 'Ryeon' and sword.	연술의 힘과 검을 다루는 자.
Jupiter	Jupiter	유피테르
desc_Jupiter	One who attacks enemies from a distance with an sword of 'Ryeon'.	연의 검으로 멀리서도 적을 공격하는 자.
Inwarder	Inwarder	내적자
desc_Inwarder	One who destroys the inner being of foes.	적의 내부를 파괴하는 자.
TheWall	TheWall	거벽
desc_TheWall	One who stands as a colossal wall to block enemies.	거대한 벽과 같이 적을 가로막는 자.
Thief	Thief	도적
desc_Thief	One who swiftly plunders the wealth of enemies.	재빠른 움직임으로 적의 금화를 터는 자.
DreamyRyeonier	Dreamy Ryeonier	몽환술사
desc_DreamyRyeonier	One who confuses enemies with dream-like illusions.	꿈같은 환상으로 적을 교란시키는 자.
MysticRyeonier	Mystic Ryeonier	신비술사
desc_MysticRyeonier	One who captivates enemy attention with 'Ryeon' connected to death.	죽음과 연결된 연으로 적의 이목을 집중 시키는 자.
desc_skill_Swordsman	None	없음
desc_skill_SwordMaster	Increases 'ATK' by <val0> when equipped with a sword.	검 장착시 공격력 <val0>증가
desc_skill_SwordDeity	Increases 'SPD', DEX' by <val0> when equipped with a sword.	검 장착시 속도 재주 <val0>증가
desc_skill_Fighter	Increases 'SPD', DEX' by <val0> when attacked.	공격을 받을 경우 속도 <val0>증가
desc_skill_Asura	If there are <val1> or more enemies within adjacent <val0> tiles, increases 'ATK' by <val2>.	인근 <val0>타일 내에 적이 <val1>명 이상일 경우 공격력 <val2>증가
desc_skill_Soldier	If there are <val1> or more allies within adjacent <val0> tiles, applies <val2>% 'Class EXP'.	인근 <val0>타일 내에 아군이 <val1>명 이상일 경우 숙련도 <val2>% 적용
desc_skill_EliteSoldier	If there are <val1> or more allies within adjacent <val0> tiles, applies <val2>% 'Class EXP'.	인근 <val0>타일 내에 아군이 <val1>명 이상일 경우 숙련도 <val2>% 적용
desc_skill_General	If there are more enemy units than allied units, increases all allies' 'DEF', "RES" by <val0>. If there are more allied units than enemy units, increases all allies' 'Atk, 'RYN' by <val1>.	아군보다 적군이 많을 경우 모든 아군의 방어력, 저항력 <val0>증가, 아군이 적군보다 많을경우 모든 아군의 공격력 연 <val1>증가
desc_skill_Hunter	Triggers a 'Unit Bonus Damage' when the enemy's 'HP' is below <val0>%.	상대의 체력이 <val0>% 이하일 경우 특효 발생
desc_skill_Assassin	If there are no enemy units within <val0> tiles of the target, increases 'ATK' by <val1>.	상대 인근 <val0>타일 내에 적군이 존재하지 않을 경우 공격력 <val1>증가
desc_skill_Paladin	Increases 'RES' by <val0>.	저항력 <val0>증가
desc_skill_Ryeonier	None	없음
desc_skill_HealRyeonier	Restores <val0> 'SP' to the corresponding ally upon recovery.	회복시 해당 아군의 기력 <val0>회복
desc_skill_WhiteRyeonier	Attacks <val1> enemies within adjacent <val0> tiles when recovering.	회복시 인근 <val0>타일의 적군 <val1>명 공격
desc_skill_BlackRyeonier	Restores 'HP' to <val1> allied units within adjacent <val0> tiles when attacking.	공격시 인근 <val0>타일의 아군 <val1>명 회복
desc_skill_SoulRyeonier	Obtain the soul when defeating an enemy.	적을 처치시 영혼을 획득 가능
desc_skill_LivingSoulRyeonier	Acquire the enemy's soul by targeting a living target.	살아있는 대상으로 상대의 영혼 획득 가능
desc_skill_NecroRyeonier	Acquire the soul when the last attacked target is defeated.	마지막으로 공격한 대상이 처치될 경우 영혼 획득 가능
desc_skill_NaturalRyeonier	Increases 'Class EXP' by <val0>% in forest terrain.	숲 지형에서 숙련도 <val0>%증가
desc_skill_FlameRyeonier	Increases 'RYN' by <val0>.	연 <val0>증가
desc_skill_FrostRyeonier	Applies higher of 'Def or Res' based on the type of damage received.	상대의 피해 형태에 따라 방어력 저항력 중 높은 스탯으로 적용됨
desc_skill_LightningRyeonier	Transfers <val0>% of the base attack damage to all adjacent enemies.	인접해 있는 모든 적이 기본공격의 <val0>%의 피해량이 전이됨
desc_skill_StormRyeonier	Changes weather for <val0> turns depending on the used 'Ryeon' skill.	사용하는 연술에 따라 <val0>턴간 날씨 변경
desc_skill_EarthRyeonier	Adds <val0> additional normal attacks to the target equipped with a 'Half Spirit'.	반혼을 장착한 대상을 상대에게 기본 공격 <val0>회 추가
desc_skill_CaptainOfTheMercenaries	Increases 'EXP' gained by <val0>%.	경험치 획득량 <val0>% 증가
desc_skill_DivineMadien	Immediately brings back the turn of the designated ally.	지정한 아군의 턴을 즉시 불러온다
desc_skill_TheKing	Reduces enemy unit's 'Atk, Ryn' by <val1>% within <val0> tiles.	<val0>칸 이내의 적 유닛의 공격력, 연 <val1>%감소
desc_skill_Hero	Allows <val1> additional actions upon defeating an enemy for every <val0> turns.	턴당 <val0>회에 한해 적을 처치시 <val1>회 추가 행동가능
desc_skill_LostWings	Restores <val2>% 'HP' when 'HP' reaches <val1> for every <val0> turns.	매 전투마다 <val0>회에 한해 체력이 <val1>이 될 경우 <val2>%의 체력 회복
desc_skill_TheDivine	Restores <val2>% 'HP' when 'HP' reaches <val1> for every <val0> turns.	매 전투마다 <val0>회에 한해 체력이 <val1>이 될 경우 <val2>%의 체력 회복
desc_skill_Sniper	Increases 'ATK' by <val1> if there are no enemy units within <val0> tiles of the target.	대상의 <val0>타일 내에 적 유닛이 없을 경우 공격력 <val1>증가
desc_skill_Destroyer	Inflicts <val1>% damage to enemies within the target's adjacent <val0> tiles with normal attacks.	기본 공격시 대상의 인근 <val0>타일 내에 있는 적에게 <val1>%의 피해 발생
desc_skill_DeadHunter	Increases damage to non-human targets by <val0>%.	인간 이외의 대상에게 피해량 <val0>% 증가
desc_skill_Guardian	Increases 'DEF' by <val0>.	방어력 <val0> 증가
desc_skill_Watcher	Reduces the target's 'Evasion' by <val0> upon dealing damage.	피해를 입힌 대상의 회피가 <val0>감소
desc_skill_Gigantic	Applies an additional fixed damage of <val0> to all damage dealt.	모든 피해가 <val0>의 추가 고정피해를 입힌다
desc_skill_WaveRyeonier	Increases 'RES' by <val1>% if there are Ryeon-class professions within <val0> tiles.	인근 <val0>타일 내에 연술사 계열의 클래스가 존재할 경우 저항력 <val1>% 증가
desc_skill_VoidRyeonier	Places Void Beads upon defeating enemies; enemies in contact with Void Beads have reduced resistance to all 'CC' ailments by <val0>.	적 처치시 공허의 구슬을 배치, 공허의 구슬에 닿은 적은 모든 상태이상 내성이 <val0> 감소한다
desc_skill_Acrobat	Increases 'Evasion' for the current turn by <val0> when defeating an enemy.	적을 처치시 해당 턴의 회피가 <val0> 증가한다.
desc_skill_Spearyeonier	Converts <val0>% of all damage to 'Ryeon' damage.	모든 공격의 <val0>%가 연 피해로 전환된다.
desc_skill_CrisomDawn	Increases 'Unit Bonus Damage' by <val0>%.	특효피해량이 <val0>% 증가한다.
desc_skill_CurseRyeonier	Increases accumulated 'CC' ailment stacks on targets affected by 'CC' ailments by <val0>.	상태이상에 걸린 대상에게 상태이상 누적이 <val0> 증가한다.
desc_skill_HalfSpiritRyeonier	Can equip <val0> 'Half Spirit' and can switch 'Half Spirit' during battles.	반혼을 <val0>개 착용할 수 있으며, 전투 중 반혼을 교체할 수 있다.
desc_skill_Swordyeonier	The equipped weapon's damage type is combined with 'ATK' or 'RYN'.	장착한 무기의 피해타입에 따라 공격력 혹은 연이 합산된다.
desc_skill_Jupiter	Counters with 'Lightning' <val0> when receiving physical attacks and can counter regardless of distance when receiving 'Ryeon' attacks.	물리타입의 공격을 받을경우 반격에 번개 속성 <val0>, 연술타입의 공격을 받을 경우 거리에 관계없이 반격을 할 수 있다.
desc_skill_Inwarder	Cumulative damage is recorded but does not reduce the enemy's 'HP'. If the accumulated damage exceeds the enemy's remaining 'HP', performs <val0> additional actions.	적을 공격시 피해량은 누적되지만 적의 체력은 감소하지 않는다. 누적된 피해량이 적의 남은 체력보다 높을 경우 <val0>회 추가 행동을 한다.
desc_skill_TheWall	Gains a shield of <val0>% of maximum 'HP' every turn.	매 턴마다 최대체력이 <val0>%의 보호막을 획득한다.
desc_skill_Thief	Obtains gold upon dealing damage to enemies.	적에게 피해를 입힐 때마다 골드를 획득한다.
desc_skill_DreamyRyeonier	Creates a shield equal to the target's remaining 'HP' if the damage exceeds maximum 'HP'. The shield dissipates at the end of the battle.	최대 체력 이상의 피해를 입게될 때 대상의 남은 체력만큼의 보호막을 생성한다. 전투가 종료되면 보호막은 소멸한다.
desc_skill_MysticRyeonier	Initiates a normal attack if there are no enemy units within <val0> tiles of the target.	인근 <val0>타일 내에 적의 체력이 <val1>% 이하일 경우 기본공격을 가한다.
desc_unlock_Swordsman	None	없음
desc_unlock_SwordMaster	None	없음
desc_unlock_SwordDeity	Wins in swordsmanship duels.	검술 대련회를 우승한다.
desc_unlock_Fighter	Reaches the top 4 in martial arts tournaments.	무술 대련회를 4강 진출한다.
desc_unlock_Asura	None	없음
desc_unlock_Soldier	None	없음
desc_unlock_EliteSoldier	None	없음
desc_unlock_General	None	없음
desc_unlock_Hunter	None	없음
desc_unlock_Assassin	Evade the enemy's attacks 10 times.	적의 공격을 10회 이상 회피한다.
desc_unlock_Paladin	None	없음
desc_unlock_Ryeonier	None	없음
desc_unlock_HealRyeonier	None	없음
desc_unlock_WhiteRyeonier	Accumulates healing over 100.	누적 회복량이 100을 넘는다.
desc_unlock_BlackRyeonier	Accumulates damage received over 100.	누적 피해량이 100을 넘는다.
desc_unlock_SoulRyeonier	Clears the "The Tomb" stage.	'무덤' 스테이지를 클리어한다.
desc_unlock_LivingSoulRyeonier	Defeats enemies while the effect of "Funeral Rites" is active.	'장례'의 효과가 발동된 동안 적을 처치한다.
desc_unlock_NecroRyeonier	Recovers allies while the effect of "Funeral Rites" is active.	'장례'의 효과가 발동된 동안 아군을 회복한다.
desc_unlock_NaturalRyeonier	Defeats enemies with the 'RYN' attack in forest terrain.	숲 지형에서 연술로 적 처치
desc_unlock_FlameRyeonier	Defeats enemies with 'Burn' damage.	화상 피해로 적을 처치한다.
desc_unlock_FrostRyeonier	Defeats enemies with 'RES' of 20 or higher.	저항력이 20 이상인 적을 처치한다.
desc_unlock_LightningRyeonier	Encounters a lightning storm weather.	벼락 폭풍 날씨를 조우한다.
desc_unlock_StormRyeonier	Encounters a storm weather.	폭풍 날씨를 조우한다.
desc_unlock_EarthRyeonier	Recovers 'HP' by more than 20 with a single recovery.	한 번의 회복으로 체력을 20 이상 회복한다.
desc_unlock_CaptainOfTheMercenaries	Clears the stage of "Maiden of FirstGod."	'초대신의 신녀' 스테이지를 클리어한다.
desc_unlock_DivineMadien	None	없음
desc_unlock_TheKing	None	없음
desc_unlock_Hero	None	없음
desc_unlock_LostWings	None	없음
desc_unlock_TheDivine	Obtains the 'Dew of Silent'.	고요의 이슬을 취득한다.
desc_unlock_Sniper	Defeats enemies located 2 tiles away 5 times.	2타일 떨어진 적을 5번 처치한다.
desc_unlock_Destroyer	Destroys objects 5 times.	오브젝트 5회 파괴한다.
desc_unlock_DeadHunter	Defeats 'Soul Ryeonier' 3 times.	영혼술사를 3회 처치한다.
desc_unlock_Guardian	Accumulates damage received over 100.	누적 받은 피해량이 100을 넘는다.
desc_unlock_Watcher	Defeats high 'Evasion' enemies with an 'Accuracy' card.	회피가 높은 적을 명중카드로 처치한다.
desc_unlock_Gigantic	Obtains the 'Half Spirit' of the "One Horned Giant."	'외뿔 거인'의 반혼을 획득한다.
desc_unlock_WaveRyeonier	'Ryeonier' take 'Ryeon' damage in fog weather.	안개 날씨에서 연술사 클래스 계열이 연술 피해를 받는다.
desc_unlock_VoidRyeonier	Accumulates more than 30 kills.	누적 처치가 30을 넘는다.
desc_unlock_Acrobat	Wields a spear with a 'SPD' exceeding 30.	창을 든채로 속도가 30을 넘는다.
desc_unlock_Spearyeonier	Uses a spear that deals 'Ryeon' damage.	연술 피해를 입히는 창을 사용한다.
desc_unlock_CrisomDawn	Defeats 5 or more enemies with 'Ryeon' weapons.	둔기로 적을 5명 이상 처치한다.
desc_unlock_CurseRyeonier	Removes 'CC' ailments from allies.	아군의 상태이상을 제거한다.
desc_unlock_HalfSpiritRyeonier	Obtains 10 'Half Spirit'.	반혼을 10개 획득한다.
desc_unlock_Swordyeonier	Uses a sword that deals 'Ryeon' damage.	연술 피해를 입히는 검을 사용한다.
desc_unlock_Jupiter	Counters 100 times while equipped with a 'Ryeon' weapon.	연술 무기를 장착한 채로 반격을 100번 한다.
desc_unlock_Inwarder	Defeats enemies with 100% 'HP' 30 times.	HP가 100%인 적을 30회 처치
desc_unlock_TheWall	Takes damage and survives 3 times with more than 10% 'HP'.	HP가 10% 이상인 경우 피해를 받고 3번 생존을 한다.
desc_unlock_Thief	Achieves accumulated gold of 10,000.	누적 골드 10,000을 달성한다.
desc_unlock_DreamyRyeonier	Evades attacks exceeding maximum 'HP' 10 times.	최대체력 이상의 피해를 10회 회피한다.
desc_unlock_MysticRyeonier	Defeats enemies 20 times when there are allies within 3 tiles.	3타일 내에 아군이 존재할 때, 적을 20회 처치한다.
desc_deserve_Swordsman	None	없음
desc_deserve_SwordMaster	Swordsman 'Class EXP' 100	검사 숙련도 100
desc_deserve_SwordDeity	Swordsman 'Class EXP' 100	검사 숙련도 100
desc_deserve_Fighter	None	없음
desc_deserve_Asura	Fighter 'Class EXP' 100	투사 숙련도 100
desc_deserve_Soldier	None	없음
desc_deserve_EliteSoldier	Soldier 'Class EXP' 100	병사 숙련도 100
desc_deserve_General	Elite Soldier 'Class EXP' 100	정예병 숙련도 100
desc_deserve_Hunter	None	없음
desc_deserve_Assassin	None	없음
desc_deserve_Paladin	Elite Soldier 'Class EXP' 70	정예병 숙련도 70
desc_deserve_Ryeonier	None	없음
desc_deserve_HealRyeonier	Ryeonier 'Class EXP' 65	연술사 숙련도 65
desc_deserve_WhiteRyeonier	None	없음
desc_deserve_BlackRyeonier	Heal Ryeonier 'Class EXP' 80	회복술사 숙련도 80
desc_deserve_SoulRyeonier	Ryeonier 'Class EXP' 80	연술사 숙련도 80
desc_deserve_LivingSoulRyeonier	SoulRyeonier 'Class EXP' 60	영혼술사 숙련도 60
desc_deserve_NecroRyeonier	SoulRyeonier 'Class EXP' 55	영혼술사 숙련도 55
desc_deserve_NaturalRyeonier	Ryeonier 'Class EXP' 80	연술사 숙련도 80
desc_deserve_FlameRyeonier	Natural Ryeonier 'Class EXP' 55	자연술사 숙련도 55
desc_deserve_FrostRyeonier	Natural Ryeonier 'Class EXP' 60	자연술사 숙련도 60
desc_deserve_LightningRyeonier	Natural Ryeonier 'Class EXP' 55	자연술사 숙련도 55
desc_deserve_StormRyeonier	Natural Ryeonier 'Class EXP' 60	자연술사 숙련도 60
desc_deserve_EarthRyeonier	Natural Ryeonier 'Class EXP' 80	자연술사 숙련도 80
desc_deserve_CaptainOfTheMercenaries	Kain / Kana	카인 / 카나
desc_deserve_DivineMadien	Elrtra	엘르트라
desc_deserve_TheKing	Herwin	헤르윈
desc_deserve_Hero	Nonamed Hero	무명용사(니아)
desc_deserve_LostWings	Hiyanne	히얀느
desc_deserve_TheDivine	Hiyanne	히얀느
desc_deserve_Sniper	None	없음
desc_deserve_Destroyer	None	없음
desc_deserve_DeadHunter	None	없음
desc_deserve_Guardian	Solider 'Class EXP' 60	병사 숙련도 60
desc_deserve_Watcher	None	없음
desc_deserve_Gigantic	None	없음
desc_deserve_WaveRyeonier	Ryeonier 'Class EXP' 70	연술사 70
desc_deserve_VoidRyeonier	Black Ryeonier 'Class EXP' 90	흑연술사 90
desc_deserve_Acrobat	Spd' 25	속도 25
desc_deserve_Spearyeonier	RYN' 15	연 15
desc_deserve_CrisomDawn	None	없음
desc_deserve_CurseRyeonier	White Ryeonier  'Class EXP' 80	백연술사 80
desc_deserve_HalfSpiritRyeonier	None	없음
desc_deserve_Swordyeonier	Swordsman 'Class EXP' 75	검사 75
desc_deserve_Jupiter	Sword Master 'Class EXP' 85	소드마스터 85
desc_deserve_Inwarder	Hunter 'Class EXP' 100	사냥꾼 100
desc_deserve_TheWall	Guardian 'Class EXP' 70	수비병 70
desc_deserve_Thief	None	없음
desc_deserve_DreamyRyeonier	White Ryeonier 'Class EXP' 85	백연술사 85
desc_deserve_MysticRyeonier	Black Ryeonier 'Class EXP' 80	흑연술사 80
